date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:44	37205/37205	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:49%20GMT	http://www.w3schools.com/tags/canvas_shadowoffsetx.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_shadowoffsetx.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	37159/37159	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:50%20GMT	http://www.w3schools.com/tags/canvas_shadowoffsety.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_shadowoffsety.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	39805/39805	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:27:22%20GMT	http://www.w3schools.com/tags/canvas_createlineargradient.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_createlineargradient.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	37804/37804	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:52%20GMT	http://www.w3schools.com/tags/canvas_createpattern.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_createpattern.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:44	37489/37489	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:54%20GMT	http://www.w3schools.com/tags/canvas_createradialgradient.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_createradialgradient.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	39192/39192	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:55%20GMT	http://www.w3schools.com/tags/canvas_addcolorstop.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_addcolorstop.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	37122/37122	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:34:37%20GMT	http://www.w3schools.com/tags/canvas_linecap.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_linecap.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	37136/37136	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:57%20GMT	http://www.w3schools.com/tags/canvas_linejoin.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_linejoin.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	36386/36386	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:24:16%20GMT	http://www.w3schools.com/tags/canvas_linewidth.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_linewidth.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	37271/37271	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:58%20GMT	http://www.w3schools.com/tags/canvas_miterlimit.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_miterlimit.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
